	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J3	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L2	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
G4-B3	0.11428571428571428	0.3457142857142857	0.2257142857142857	0.18571428571428572	0.2885714285714286	0.21714285714285714	0.4542857142857143	0.17714285714285713	0.14	0.35714285714285715	0.29428571428571426	0.17142857142857143	0.0	0.3457142857142857	0.1457142857142857	0.12857142857142856	0.18285714285714286	0.31142857142857144	0.1457142857142857	0.31142857142857144	0.13142857142857142	0.19428571428571428	0.1742857142857143	0.24	0.2542857142857143	0.18857142857142858	0.36857142857142855	0.18857142857142858	0.2342857142857143	0.25142857142857145	0.21142857142857144	0.1742857142857143	0.94	0.94	0.9914285714285714	0.9371428571428572	0.9114285714285715	0.9057142857142857	0.8285714285714286	0.86	0.9228571428571428	0.8514285714285714	0.9685714285714285	0.9857142857142858	0.9542857142857143	0.9657142857142857	0.9657142857142857	0.9771428571428571	0.8971428571428571	0.8628571428571429	0.9142857142857143	0.8857142857142857
G4-B4	0.32857142857142857	0.40285714285714286	0.39714285714285713	0.4	0.20857142857142857	0.32	0.26	0.3657142857142857	0.3342857142857143	0.3628571428571429	0.36857142857142855	0.3485714285714286	0.3457142857142857	0.0	0.3457142857142857	0.33714285714285713	0.3485714285714286	0.34285714285714286	0.37142857142857144	0.3457142857142857	0.35428571428571426	0.4085714285714286	0.3485714285714286	0.46285714285714286	0.32857142857142857	0.3942857142857143	0.38571428571428573	0.32857142857142857	0.37714285714285717	0.4057142857142857	0.3342857142857143	0.30857142857142855	0.9342857142857143	0.9342857142857143	0.9857142857142858	0.9314285714285714	0.9057142857142857	0.8657142857142858	0.8571428571428571	0.8771428571428571	0.9171428571428571	0.8542857142857143	0.9628571428571429	0.98	0.9514285714285714	0.9571428571428572	0.96	0.9685714285714285	0.8914285714285715	0.8771428571428571	0.9085714285714286	0.88
G4-B5	0.09428571428571429	0.3342857142857143	0.23714285714285716	0.18571428571428572	0.32285714285714284	0.20857142857142857	0.48857142857142855	0.14857142857142858	0.15142857142857144	0.3485714285714286	0.3	0.2057142857142857	0.1457142857142857	0.3457142857142857	0.0	0.12571428571428572	0.15714285714285714	0.3171428571428571	0.18	0.35714285714285715	0.19142857142857142	0.19142857142857142	0.09428571428571429	0.26857142857142857	0.13714285714285715	0.21428571428571427	0.36857142857142855	0.1457142857142857	0.23714285714285716	0.24857142857142858	0.19428571428571428	0.14857142857142858	0.94	0.94	0.9914285714285714	0.9371428571428572	0.9114285714285715	0.9142857142857143	0.8685714285714285	0.88	0.9228571428571428	0.8828571428571429	0.9685714285714285	0.9885714285714285	0.9542857142857143	0.9742857142857143	0.9657142857142857	0.9857142857142858	0.9	0.88	0.9142857142857143	0.8857142857142857
G4-B6	0.06571428571428571	0.3628571428571429	0.26285714285714284	0.09428571428571429	0.26285714285714284	0.14285714285714285	0.4342857142857143	0.16857142857142857	0.04857142857142857	0.32571428571428573	0.3171428571428571	0.11142857142857143	0.12857142857142856	0.33714285714285713	0.12571428571428572	0.0	0.15142857142857144	0.3171428571428571	0.14285714285714285	0.35714285714285715	0.22285714285714286	0.16285714285714287	0.14	0.19714285714285715	0.22285714285714286	0.1	0.36857142857142855	0.15142857142857144	0.17142857142857143	0.12857142857142856	0.16285714285714287	0.13428571428571429	0.94	0.94	0.9914285714285714	0.9371428571428572	0.9114285714285715	0.9142857142857143	0.8114285714285714	0.86	0.9228571428571428	0.86	0.9685714285714285	0.9885714285714285	0.9571428571428572	0.9771428571428571	0.9657142857142857	0.9857142857142858	0.9	0.8628571428571429	0.9142857142857143	0.8857142857142857
G4-B7	0.17142857142857143	0.37142857142857144	0.2	0.20857142857142857	0.32285714285714284	0.2542857142857143	0.49714285714285716	0.20285714285714285	0.19714285714285715	0.32	0.3314285714285714	0.21142857142857144	0.18285714285714286	0.3485714285714286	0.15714285714285714	0.15142857142857144	0.0	0.32571428571428573	0.11142857142857143	0.35428571428571426	0.2885714285714286	0.2	0.2342857142857143	0.21428571428571427	0.24857142857142858	0.23142857142857143	0.3628571428571429	0.24571428571428572	0.2257142857142857	0.26	0.1457142857142857	0.1742857142857143	0.9342857142857143	0.9342857142857143	0.9857142857142858	0.9314285714285714	0.9057142857142857	0.9028571428571428	0.8485714285714285	0.8542857142857143	0.9171428571428571	0.8514285714285714	0.9628571428571429	0.98	0.9514285714285714	0.9657142857142857	0.96	0.9742857142857143	0.8914285714285715	0.8571428571428571	0.9085714285714286	0.88
G4-B9	0.3142857142857143	0.06857142857142857	0.24	0.38	0.41714285714285715	0.34	0.5457142857142857	0.34	0.3142857142857143	0.07714285714285714	0.07428571428571429	0.3171428571428571	0.31142857142857144	0.34285714285714286	0.3171428571428571	0.3171428571428571	0.32571428571428573	0.0	0.34285714285714286	0.05714285714285714	0.34285714285714286	0.38	0.3171428571428571	0.4342857142857143	0.22857142857142856	0.37142857142857144	0.08	0.32285714285714284	0.3485714285714286	0.38857142857142857	0.38285714285714284	0.24285714285714285	0.94	0.94	0.9914285714285714	0.9371428571428572	0.9114285714285715	0.8314285714285714	0.8857142857142857	0.8885714285714286	0.9228571428571428	0.8657142857142858	0.9685714285714285	0.9857142857142858	0.9571428571428572	0.9628571428571429	0.9657142857142857	0.9742857142857143	0.8971428571428571	0.8885714285714286	0.9142857142857143	0.8885714285714286
G4-C1	0.13714285714285715	0.38285714285714284	0.1657142857142857	0.17142857142857143	0.2542857142857143	0.21714285714285714	0.46	0.1457142857142857	0.16285714285714287	0.38285714285714284	0.34	0.2057142857142857	0.1457142857142857	0.37142857142857144	0.18	0.14285714285714285	0.11142857142857143	0.34285714285714286	0.0	0.38285714285714284	0.24571428571428572	0.14857142857142858	0.18	0.15142857142857144	0.3057142857142857	0.17714285714285713	0.4114285714285714	0.22	0.22857142857142856	0.24	0.1457142857142857	0.21142857142857144	0.94	0.94	0.9914285714285714	0.9371428571428572	0.9114285714285715	0.9085714285714286	0.8228571428571428	0.86	0.9228571428571428	0.8542857142857143	0.9685714285714285	0.9857142857142858	0.9542857142857143	0.9685714285714285	0.9657142857142857	0.98	0.8971428571428571	0.8628571428571429	0.9142857142857143	0.8857142857142857
G4-C10	0.35428571428571426	0.12	0.26285714285714284	0.4057142857142857	0.4514285714285714	0.35428571428571426	0.54	0.37714285714285717	0.3514285714285714	0.09142857142857143	0.11428571428571428	0.3485714285714286	0.31142857142857144	0.3457142857142857	0.35714285714285715	0.35714285714285715	0.35428571428571426	0.05714285714285714	0.38285714285714284	0.0	0.3314285714285714	0.4142857142857143	0.35714285714285715	0.46	0.28	0.39714285714285713	0.09428571428571429	0.34	0.3742857142857143	0.4142857142857143	0.4085714285714286	0.29428571428571426	0.94	0.94	0.9914285714285714	0.9371428571428572	0.9114285714285715	0.8314285714285714	0.8885714285714286	0.8885714285714286	0.9228571428571428	0.8657142857142858	0.9685714285714285	0.9857142857142858	0.9571428571428572	0.9628571428571429	0.9657142857142857	0.9742857142857143	0.8971428571428571	0.8885714285714286	0.9171428571428571	0.8885714285714286
G4-C2	0.16285714285714287	0.36	0.3314285714285714	0.2914285714285714	0.32857142857142857	0.20857142857142857	0.47714285714285715	0.24	0.20857142857142857	0.36857142857142855	0.34285714285714286	0.26	0.13142857142857142	0.35428571428571426	0.19142857142857142	0.22285714285714286	0.2885714285714286	0.34285714285714286	0.24571428571428572	0.3314285714285714	0.0	0.24571428571428572	0.16857142857142857	0.3485714285714286	0.24571428571428572	0.27714285714285714	0.3742857142857143	0.10285714285714286	0.27714285714285714	0.29714285714285715	0.31142857142857144	0.23142857142857143	0.92	0.92	0.9714285714285714	0.9171428571428571	0.8914285714285715	0.8914285714285715	0.8028571428571428	0.84	0.9028571428571428	0.8371428571428572	0.9485714285714286	0.9657142857142857	0.9371428571428572	0.9542857142857143	0.9457142857142857	0.9628571428571429	0.8771428571428571	0.8428571428571429	0.8942857142857142	0.8657142857142858
G4-C3	0.14857142857142858	0.3742857142857143	0.24571428571428572	0.18857142857142858	0.25142857142857145	0.22	0.5028571428571429	0.15142857142857144	0.1657142857142857	0.4085714285714286	0.3628571428571429	0.22285714285714286	0.19428571428571428	0.4085714285714286	0.19142857142857142	0.16285714285714287	0.2	0.38	0.14857142857142858	0.4142857142857143	0.24571428571428572	0.0	0.19428571428571428	0.21428571428571427	0.31142857142857144	0.18	0.43142857142857144	0.20285714285714285	0.2542857142857143	0.24571428571428572	0.21142857142857144	0.21142857142857144	0.9057142857142857	0.9	0.9457142857142857	0.9057142857142857	0.8771428571428571	0.8857142857142857	0.8114285714285714	0.8371428571428572	0.8942857142857142	0.8314285714285714	0.9314285714285714	0.9457142857142857	0.9171428571428571	0.9314285714285714	0.92	0.9428571428571428	0.8714285714285714	0.84	0.8942857142857142	0.8628571428571429
G4-C4	0.08571428571428572	0.3342857142857143	0.2742857142857143	0.17142857142857143	0.3	0.1742857142857143	0.49714285714285716	0.11428571428571428	0.14	0.38857142857142857	0.3057142857142857	0.19142857142857142	0.1742857142857143	0.3485714285714286	0.09428571428571429	0.14	0.2342857142857143	0.3171428571428571	0.18	0.35714285714285715	0.16857142857142857	0.19428571428571428	0.0	0.23714285714285716	0.18285714285714286	0.15142857142857144	0.38571428571428573	0.13714285714285715	0.20857142857142857	0.20857142857142857	0.22	0.18857142857142858	0.9314285714285714	0.9314285714285714	0.9828571428571429	0.9285714285714286	0.9028571428571428	0.9057142857142857	0.8571428571428571	0.88	0.9142857142857143	0.8828571428571429	0.96	0.98	0.9485714285714286	0.9685714285714285	0.9571428571428572	0.9771428571428571	0.8914285714285715	0.88	0.9057142857142857	0.88
G4-C5	0.21142857142857144	0.4857142857142857	0.29714285714285715	0.10571428571428572	0.37142857142857144	0.22857142857142856	0.4342857142857143	0.18285714285714286	0.2	0.4657142857142857	0.44285714285714284	0.2257142857142857	0.24	0.46285714285714286	0.26857142857142857	0.19714285714285715	0.21428571428571427	0.4342857142857143	0.15142857142857144	0.46	0.3485714285714286	0.21428571428571427	0.23714285714285716	0.0	0.3914285714285714	0.12	0.49142857142857144	0.29428571428571426	0.24	0.18857142857142858	0.16	0.3	0.94	0.94	0.9914285714285714	0.9371428571428572	0.9114285714285715	0.9085714285714286	0.8114285714285714	0.86	0.9228571428571428	0.8542857142857143	0.9685714285714285	0.9857142857142858	0.9571428571428572	0.9714285714285714	0.9657142857142857	0.98	0.8971428571428571	0.8628571428571429	0.9142857142857143	0.8857142857142857
G4-C9	0.19714285714285715	0.24	0.26	0.30857142857142855	0.38571428571428573	0.2542857142857143	0.54	0.2714285714285714	0.23142857142857143	0.2571428571428571	0.21714285714285714	0.2714285714285714	0.2542857142857143	0.32857142857142857	0.13714285714285715	0.22285714285714286	0.24857142857142858	0.22857142857142856	0.3057142857142857	0.28	0.24571428571428572	0.31142857142857144	0.18285714285714286	0.3914285714285714	0.0	0.32285714285714284	0.28	0.18	0.25142857142857145	0.29428571428571426	0.30857142857142855	0.11142857142857143	0.94	0.94	0.9914285714285714	0.9371428571428572	0.9114285714285715	0.8314285714285714	0.88	0.8828571428571429	0.9228571428571428	0.86	0.9685714285714285	0.9857142857142858	0.9571428571428572	0.9628571428571429	0.9657142857142857	0.9742857142857143	0.8971428571428571	0.8828571428571429	0.9142857142857143	0.8857142857142857
G4-D1	0.13142857142857142	0.4228571428571429	0.32285714285714284	0.05714285714285714	0.3028571428571429	0.18285714285714286	0.4342857142857143	0.17142857142857143	0.09714285714285714	0.4	0.37714285714285717	0.12	0.18857142857142858	0.3942857142857143	0.21428571428571427	0.1	0.23142857142857143	0.37142857142857144	0.17714285714285713	0.39714285714285713	0.27714285714285714	0.18	0.15142857142857144	0.12	0.32285714285714284	0.0	0.4228571428571429	0.22285714285714286	0.1657142857142857	0.09428571428571429	0.1742857142857143	0.22857142857142856	0.9342857142857143	0.9342857142857143	0.9857142857142858	0.9314285714285714	0.9057142857142857	0.9085714285714286	0.8057142857142857	0.8542857142857143	0.9171428571428571	0.8542857142857143	0.9628571428571429	0.9828571428571429	0.9514285714285714	0.9714285714285714	0.96	0.98	0.8942857142857142	0.8571428571428571	0.9085714285714286	0.88
G4-D10	0.3657142857142857	0.08	0.28285714285714286	0.41714285714285715	0.47714285714285715	0.38571428571428573	0.6057142857142858	0.38857142857142857	0.3628571428571429	0.06571428571428571	0.09428571428571429	0.38	0.36857142857142855	0.38571428571428573	0.36857142857142855	0.36857142857142855	0.3628571428571429	0.08	0.4114285714285714	0.09428571428571429	0.3742857142857143	0.43142857142857144	0.38571428571428573	0.49142857142857144	0.28	0.4228571428571429	0.0	0.33714285714285713	0.38571428571428573	0.4228571428571429	0.41714285714285715	0.2885714285714286	0.9371428571428572	0.9371428571428572	0.9885714285714285	0.9342857142857143	0.9114285714285715	0.8285714285714286	0.8914285714285715	0.9	0.92	0.8771428571428571	0.9657142857142857	0.9828571428571429	0.9542857142857143	0.96	0.9628571428571429	0.9714285714285714	0.8942857142857142	0.9	0.9114285714285715	0.9
G4-D2	0.10857142857142857	0.3314285714285714	0.30857142857142855	0.21714285714285714	0.3	0.15428571428571428	0.46	0.20285714285714285	0.13428571428571429	0.3314285714285714	0.31142857142857144	0.21142857142857144	0.18857142857142858	0.32857142857142857	0.1457142857142857	0.15142857142857144	0.24571428571428572	0.32285714285714284	0.22	0.34	0.10285714285714286	0.20285714285714285	0.13714285714285715	0.29428571428571426	0.18	0.22285714285714286	0.33714285714285713	0.0	0.22285714285714286	0.22285714285714286	0.26	0.1742857142857143	0.9314285714285714	0.9314285714285714	0.9828571428571429	0.9285714285714286	0.9028571428571428	0.8914285714285715	0.8028571428571428	0.8514285714285714	0.9142857142857143	0.8371428571428572	0.96	0.9771428571428571	0.9485714285714286	0.9542857142857143	0.9571428571428572	0.9657142857142857	0.8885714285714286	0.8542857142857143	0.9057142857142857	0.8771428571428571
G4-D3	0.18571428571428572	0.4	0.35428571428571426	0.15714285714285714	0.3171428571428571	0.16857142857142857	0.4542857142857143	0.2342857142857143	0.18571428571428572	0.3457142857142857	0.3657142857142857	0.23714285714285716	0.2342857142857143	0.37714285714285717	0.23714285714285716	0.17142857142857143	0.2257142857142857	0.3485714285714286	0.22857142857142856	0.3742857142857143	0.27714285714285714	0.2542857142857143	0.20857142857142857	0.24	0.25142857142857145	0.1657142857142857	0.38571428571428573	0.22285714285714286	0.0	0.15428571428571428	0.20285714285714285	0.22857142857142856	0.9342857142857143	0.9342857142857143	0.9857142857142858	0.9314285714285714	0.9057142857142857	0.9	0.8342857142857143	0.8542857142857143	0.9171428571428571	0.8457142857142858	0.9628571428571429	0.98	0.9514285714285714	0.9628571428571429	0.96	0.9714285714285714	0.8914285714285715	0.8571428571428571	0.9085714285714286	0.88
G4-D4	0.18	0.44	0.38857142857142857	0.11142857142857143	0.33714285714285713	0.18285714285714286	0.43142857142857144	0.2571428571428571	0.11428571428571428	0.38571428571428573	0.3914285714285714	0.12571428571428572	0.25142857142857145	0.4057142857142857	0.24857142857142858	0.12857142857142856	0.26	0.38857142857142857	0.24	0.4142857142857143	0.29714285714285715	0.24571428571428572	0.20857142857142857	0.18857142857142858	0.29428571428571426	0.09428571428571429	0.4228571428571429	0.22285714285714286	0.15428571428571428	0.0	0.18571428571428572	0.24857142857142858	0.9371428571428572	0.9371428571428572	0.9885714285714285	0.9342857142857143	0.9085714285714286	0.9114285714285715	0.8085714285714286	0.8571428571428571	0.92	0.8571428571428571	0.9657142857142857	0.9857142857142858	0.9514285714285714	0.9714285714285714	0.9628571428571429	0.9828571428571429	0.8971428571428571	0.86	0.9114285714285715	0.8828571428571429
G4-D5	0.18	0.4342857142857143	0.26857142857142857	0.14	0.27714285714285714	0.2257142857142857	0.4114285714285714	0.19142857142857142	0.20285714285714285	0.38285714285714284	0.38857142857142857	0.25142857142857145	0.21142857142857144	0.3342857142857143	0.19428571428571428	0.16285714285714287	0.1457142857142857	0.38285714285714284	0.1457142857142857	0.4085714285714286	0.31142857142857144	0.21142857142857144	0.22	0.16	0.30857142857142855	0.1742857142857143	0.41714285714285715	0.26	0.20285714285714285	0.18571428571428572	0.0	0.23142857142857143	0.9371428571428572	0.9371428571428572	0.9885714285714285	0.9342857142857143	0.9085714285714286	0.9057142857142857	0.8371428571428572	0.86	0.92	0.8571428571428571	0.9657142857142857	0.9828571428571429	0.9542857142857143	0.9685714285714285	0.9628571428571429	0.9771428571428571	0.8942857142857142	0.86	0.9114285714285715	0.8828571428571429
